TransactionID,ProductID,Date,QuantitySold,SalePrice,SupplierID,DiscountApplied,CustomerType,DeliveryDays
T00065,P0482,2024-09-25 23:18:55.633751,9,458.77,S007,0.2,E-commerce,4
T00066,P0331,2024-07-27 23:18:55.633751,6,87.16,S044,0.02,Wholesale,5
T00067,P0587,2024-10-05 23:18:55.633751,9,326.95,S041,0.01,Wholesale,9
T00068,P0201,2024-08-06 23:18:55.633751,7,279.44,S026,0.27,E-commerce,3
T00069,P0012,2024-10-18 23:18:55.633751,3,447.64,S020,0.01,E-commerce,6
T00070,P0494,2024-01-16 23:18:55.633751,9,168.1,S038,0.23,E-commerce,3
T00071,P0006,2024-06-19 23:18:55.633751,7,15.94,S043,0.07,E-commerce,1
T00072,P0151,2024-03-26 23:18:55.633751,18,29.34,S019,0.02,Wholesale,1
T00073,P0890,2023-10-30 23:18:55.633751,14,453.37,S010,0.28,Wholesale,1
T00074,P0955,2023-11-22 23:18:55.633751,12,220.56,S008,0.06,Wholesale,3
T00075,P0971,2024-04-18 23:18:55.633751,12,316.85,S008,0.09,Retail,7
T00076,P0472,2024-04-28 23:18:55.633751,8,471.08,S004,0.03,E-commerce,6
T00077,P0699,2024-01-24 23:18:55.633751,8,134.32,S002,0.11,Retail,7
T00078,P0811,2023-11-29 23:18:55.633751,13,310.43,S031,0.25,Wholesale,6
T00079,P0319,2024-08-10 23:18:55.633751,14,289.18,S044,0.22,Retail,1
T00080,P0333,2024-01-17 23:18:55.633751,12,298.4,S007,0.27,Retail,5
T00081,P0713,2023-12-10 23:18:55.633751,16,52.26,S009,0.19,Retail,5
T00082,P0918,2023-10-30 23:18:55.633751,19,274.75,S001,0.1,Wholesale,1
T00083,P0459,2024-02-24 23:18:55.633751,15,62.11,S033,0.23,Wholesale,6
T00084,P0289,2024-02-28 23:18:55.633751,1,231.32,S036,0.19,Wholesale,9
T00085,P0320,2024-10-06 23:18:55.633751,1,408.75,S032,0.2,Wholesale,3
T00086,P0996,2024-04-18 23:18:55.633751,1,325.11,S027,0.01,Retail,3
T00087,P0659,2024-09-20 23:18:55.633751,15,325.63,S004,0.26,Retail,4
T00088,P0732,2024-08-19 23:18:55.633751,8,145.6,S047,0.04,Wholesale,8
T00089,P0734,2024-02-26 23:18:55.633751,11,381.13,S037,0.05,Retail,1
T00090,P0748,2024-03-04 23:18:55.633751,17,408.57,S021,0.09,Wholesale,3
T00091,P0503,2024-07-08 23:18:55.633751,10,68.94,S027,0.08,Retail,5
T00092,P0796,2024-01-15 23:18:55.633751,13,107.42,S028,0.11,E-commerce,2
T00093,P0786,2023-11-18 23:18:55.633751,11,170.06,S023,0.05,Wholesale,1
T00094,P0026,2024-06-21 23:18:55.633751,19,254.87,S001,0.21,E-commerce,8
T00095,P0020,2024-08-12 23:18:55.633751,14,398.77,S007,0.26,E-commerce,9
T00096,P0589,2023-12-01 23:18:55.633751,12,57.55,S037,0.28,E-commerce,1
T00097,P0517,2024-07-13 23:18:55.633751,9,96.65,S025,0.13,E-commerce,5
T00098,P0877,2024-04-04 23:18:55.633751,15,480.21,S020,0.04,Wholesale,8
T00099,P0434,2024-10-02 23:18:55.633751,3,499.45,S050,0.02,Wholesale,2
T00100,P0654,2024-07-17 23:18:55.633751,19,478.93,S048,0.1,Wholesale,8
T00101,P0517,2023-10-29 23:18:55.633751,7,174.04,S048,0.27,Wholesale,3
T00102,P0491,2024-04-27 23:18:55.633751,14,260.84,S044,0.14,Retail,5
T00103,P0521,2023-12-20 23:18:55.633751,6,239.29,S009,0.19,E-commerce,4
T00104,P0704,2024-02-29 23:18:55.633751,9,241.58,S039,0.15,E-commerce,6
T00105,P0850,2024-01-08 23:18:55.633751,14,452.69,S006,0.0,Retail,5
T00106,P0670,2024-10-05 23:18:55.633751,3,404.17,S035,0.06,E-commerce,5
T00107,P0242,2023-11-15 23:18:55.633751,3,191.06,S034,0.12,E-commerce,6
T00108,P0984,2024-03-20 23:18:55.633751,5,314.13,S005,0.24,Retail,4
T00109,P0671,2024-09-14 23:18:55.633751,1,239.22,S025,0.29,E-commerce,4
T00110,P0182,2024-02-12 23:18:55.633751,2,336.27,S044,0.2,Wholesale,1
T00111,P0895,2024-02-08 23:18:55.633751,3,58.58,S009,0.25,E-commerce,7
T00112,P0747,2024-08-09 23:18:55.633751,18,306.73,S019,0.16,Retail,6
T00113,P0396,2024-02-20 23:18:55.633751,3,20.71,S042,0.2,Retail,2
T00114,P0759,2023-11-21 23:18:55.633751,18,141.65,S029,0.06,E-commerce,3
T00115,P0474,2024-05-02 23:18:55.633751,2,482.99,S032,0.22,E-commerce,8
T00116,P0828,2024-01-16 23:18:55.633751,10,278.18,S046,0.21,Retail,8
T00117,P0900,2024-05-27 23:18:55.633751,1,120.62,S003,0.05,Retail,1
T00118,P0589,2024-01-08 23:18:55.633751,3,294.26,S023,0.29,Wholesale,2
T00119,P0758,2023-10-31 23:18:55.633751,3,183.4,S002,0.11,E-commerce,3
T00120,P0763,2024-08-23 23:18:55.633751,4,296.58,S042,0.2,Retail,7
T00121,P0202,2024-02-05 23:18:55.633751,7,201.32,S041,0.12,Wholesale,5
T00122,P0526,2024-01-17 23:18:55.633751,6,313.77,S023,0.22,Retail,4
T00123,P0858,2024-08-07 23:18:55.633751,15,222.15,S017,0.03,Retail,9
T00124,P0705,2024-01-23 23:18:55.633751,13,41.95,S046,0.26,Wholesale,7
T00125,P0915,2024-04-30 23:18:55.633751,2,153.72,S047,0.13,E-commerce,3
T00126,P0863,2024-06-11 23:18:55.633751,4,66.95,S040,0.05,Retail,8
T00127,P0032,2024-07-11 23:18:55.633751,14,215.3,S020,0.3,Retail,3
T00128,P0784,2024-02-14 23:18:55.633751,19,65.36,S014,0.29,Wholesale,4
T00129,P0491,2024-08-18 23:18:55.633751,10,232.69,S034,0.05,Retail,9
T00130,P0586,2023-11-14 23:18:55.633751,11,401.06,S046,0.07,Retail,1
T00131,P0924,2023-12-28 23:18:55.633751,3,463.21,S034,0.02,Wholesale,5
T00132,P0105,2024-02-06 23:18:55.633751,15,283.16,S001,0.12,E-commerce,6
T00133,P0657,2024-09-06 23:18:55.633751,4,296.41,S045,0.24,Wholesale,5
T00134,P0640,2024-09-30 23:18:55.633751,15,329.33,S040,0.03,Retail,5
T00135,P0547,2024-09-15 23:18:55.633751,12,331.41,S046,0.11,E-commerce,3
T00136,P0974,2024-07-07 23:18:55.633751,5,120.51,S021,0.16,E-commerce,9
T00137,P0689,2024-01-28 23:18:55.633751,4,322.66,S002,0.05,Retail,2
T00138,P0332,2024-08-16 23:18:55.633751,18,26.67,S023,0.08,Wholesale,1
T00139,P0762,2024-10-02 23:18:55.633751,14,79.32,S022,0.27,E-commerce,1
T00140,P0122,2024-10-14 23:18:55.633751,14,28.61,S006,0.06,Retail,1
T00141,P0460,2024-07-06 23:18:55.633751,8,384.73,S043,0.21,Retail,8
T00142,P0802,2023-12-21 23:18:55.633751,2,322.75,S015,0.1,Retail,2
T00143,P0762,2024-08-14 23:18:55.633751,11,414.46,S017,0.0,E-commerce,8
T00144,P0977,2024-10-18 23:18:55.633751,10,63.32,S044,0.29,Wholesale,3
T00145,P0026,2024-05-30 23:18:55.633751,6,191.18,S038,0.07,Retail,5
T00146,P0024,2024-02-05 23:18:55.633751,6,82.23,S044,0.02,Retail,6
T00147,P0292,2024-01-21 23:18:55.633751,12,124.63,S039,0.2,Wholesale,3
T00148,P0051,2024-03-30 23:18:55.633751,17,498.18,S016,0.14,Wholesale,8
T00149,P0728,2024-05-26 23:18:55.633751,6,91.31,S005,0.07,E-commerce,5
T00150,P0492,2024-01-12 23:18:55.633751,5,387.27,S017,0.03,Wholesale,5
T00151,P0228,2024-02-26 23:18:55.633751,4,198.35,S031,0.19,Wholesale,6
T00152,P0745,2024-10-01 23:18:55.633751,9,488.64,S033,0.17,Wholesale,1
T00153,P0641,2023-11-26 23:18:55.633751,12,44.56,S003,0.2,Wholesale,7
T00154,P0973,2024-03-22 23:18:55.633751,14,75.38,S020,0.19,Wholesale,9
T00155,P0315,2024-05-14 23:18:55.633751,11,57.19,S028,0.09,Retail,7
T00156,P0487,2024-05-20 23:18:55.633751,18,58.1,S009,0.23,E-commerce,1
T00157,P0151,2023-11-18 23:18:55.633751,5,154.2,S002,0.1,Wholesale,2
T00158,P0529,2024-08-20 23:18:55.633751,6,111.32,S043,0.27,Retail,6
T00159,P0147,2024-03-30 23:18:55.633751,1,293.01,S013,0.28,Wholesale,5
T00160,P0167,2023-12-02 23:18:55.633751,15,441.22,S019,0.02,E-commerce,2
T00161,P0558,2024-09-09 23:18:55.633751,3,453.95,S045,0.18,Wholesale,2
T00162,P0524,2023-11-26 23:18:55.633751,6,376.09,S028,0.21,E-commerce,2
T00163,P0807,2024-03-24 23:18:55.633751,1,297.87,S004,0.2,Retail,3
T00164,P0145,2024-08-05 23:18:55.633751,11,27.26,S018,0.14,Retail,8
T00165,P0368,2023-12-27 23:18:55.633751,16,417.46,S045,0.1,Retail,6
T00166,P0117,2024-05-30 23:18:55.633751,18,499.75,S020,0.26,Wholesale,1
T00167,P0725,2024-06-04 23:18:55.633751,14,127.18,S001,0.15,Retail,1
T00168,P0126,2024-02-29 23:18:55.633751,1,406.93,S026,0.08,Retail,2
T00169,P0239,2024-06-20 23:18:55.633751,10,150.92,S024,0.04,Wholesale,7
T00170,P0488,2024-03-08 23:18:55.633751,7,120.75,S031,0.1,E-commerce,4
T00171,P0057,2024-06-10 23:18:55.633751,18,281.58,S004,0.13,E-commerce,8
T00172,P0553,2023-12-11 23:18:55.633751,9,228.86,S047,0.17,E-commerce,2
T00173,P0145,2024-04-26 23:18:55.633751,11,115.88,S007,0.08,E-commerce,3
T00174,P0924,2024-10-07 23:18:55.633751,6,147.0,S009,0.01,Retail,1
T00175,P0035,2024-08-26 23:18:55.633751,12,232.6,S046,0.17,Wholesale,6
T00176,P0604,2024-06-28 23:18:55.633751,17,36.17,S037,0.15,Wholesale,1
T00177,P0826,2023-11-16 23:18:55.633751,5,103.65,S037,0.1,Wholesale,5
T00178,P0221,2024-04-17 23:18:55.633751,2,180.94,S028,0.25,Wholesale,2
T00179,P0095,2024-02-02 23:18:55.633751,4,229.99,S037,0.07,Wholesale,5
T00180,P0353,2024-08-18 23:18:55.633751,2,385.46,S004,0.05,Retail,1
T00181,P0418,2024-08-24 23:18:55.633751,10,495.21,S020,0.17,Retail,5
T00182,P0959,2023-12-01 23:18:55.633751,4,219.29,S009,0.05,E-commerce,6
T00183,P0760,2024-01-11 23:18:55.633751,9,65.85,S040,0.01,Retail,4
T00184,P0803,2024-04-29 23:18:55.633751,13,278.43,S046,0.03,Wholesale,5
T00185,P0016,2023-12-10 23:18:55.633751,7,107.78,S049,0.15,E-commerce,1
T00186,P0344,2023-10-30 23:18:55.633751,16,115.05,S048,0.07,Wholesale,3
T00187,P0304,2023-11-21 23:18:55.633751,1,419.05,S019,0.22,Wholesale,6
T00188,P0271,2024-06-30 23:18:55.633751,9,163.72,S037,0.14,E-commerce,5
T00189,P0323,2023-11-10 23:18:55.633751,11,62.15,S013,0.16,E-commerce,1
T00190,P0231,2024-02-11 23:18:55.633751,8,423.76,S044,0.19,Retail,8
T00191,P0515,2024-04-30 23:18:55.633751,12,233.14,S007,0.16,Retail,4
T00192,P0775,2024-08-30 23:18:55.633751,12,388.13,S003,0.01,Wholesale,3
T00193,P0382,2024-09-16 23:18:55.633751,11,65.08,S005,0.29,E-commerce,6
T00194,P0750,2024-02-29 23:18:55.633751,16,336.92,S037,0.18,Retail,1
T00195,P0745,2024-07-13 23:18:55.633751,18,24.76,S036,0.12,Retail,2
T00196,P0068,2024-03-09 23:18:55.633751,13,200.3,S019,0.07,Retail,9
T00197,P0364,2024-05-01 23:18:55.633751,4,438.65,S040,0.17,Wholesale,7
T00198,P0562,2023-11-30 23:18:55.633751,12,122.81,S014,0.28,Retail,3
T00199,P0366,2024-04-09 23:18:55.633751,7,62.7,S004,0.09,Wholesale,3
T00200,P0719,2023-12-28 23:18:55.633751,16,258.98,S010,0.23,Wholesale,1
T00201,P0273,2023-10-30 23:18:55.633751,2,145.62,S005,0.29,Wholesale,8
T00202,P0093,2024-09-14 23:18:55.633751,11,254.3,S005,0.03,E-commerce,4
T00203,P0939,2024-03-15 23:18:55.633751,13,447.19,S027,0.28,Wholesale,5
T00204,P0727,2024-03-16 23:18:55.633751,17,209.85,S004,0.23,Retail,6
T00205,P0353,2024-10-06 23:18:55.633751,4,325.56,S016,0.17,E-commerce,8
T00206,P0281,2023-11-05 23:18:55.633751,6,204.64,S050,0.22,Wholesale,8
T00207,P0361,2023-11-02 23:18:55.633751,8,206.37,S050,0.05,Retail,5
T00208,P0817,2024-09-21 23:18:55.633751,17,8.9,S049,0.06,Wholesale,8
T00209,P0114,2024-07-30 23:18:55.633751,15,49.97,S047,0.2,Wholesale,9
T00210,P0423,2024-04-20 23:18:55.633751,12,271.62,S014,0.24,Retail,9
T00211,P0036,2024-06-18 23:18:55.633751,1,370.44,S009,0.26,E-commerce,7
T00212,P0838,2023-11-18 23:18:55.633751,9,401.1,S038,0.27,Retail,9
T00213,P0720,2023-11-15 23:18:55.633751,9,89.71,S026,0.19,E-commerce,8
T00214,P0002,2024-09-22 23:18:55.633751,1,307.8,S021,0.1,Wholesale,8
T00215,P0464,2024-08-27 23:18:55.633751,8,38.6,S010,0.28,Retail,3
T00216,P0010,2024-03-23 23:18:55.633751,17,399.79,S046,0.25,Wholesale,6
T00217,P0847,2024-01-25 23:18:55.633751,17,98.29,S009,0.12,E-commerce,6
T00218,P0732,2024-04-19 23:18:55.633751,13,387.03,S012,0.08,Retail,9
T00219,P0532,2023-12-06 23:18:55.633751,1,276.67,S042,0.16,Retail,6
T00220,P0611,2024-09-10 23:18:55.633751,18,10.48,S035,0.02,Wholesale,1
T00221,P0198,2023-12-09 23:18:55.633751,9,480.35,S041,0.3,E-commerce,3
T00222,P0168,2024-06-26 23:18:55.633751,6,223.14,S044,0.22,Wholesale,1
T00223,P0699,2024-02-04 23:18:55.633751,10,76.03,S034,0.09,Retail,4
T00224,P0753,2024-09-06 23:18:55.633751,9,193.1,S042,0.11,Wholesale,1
T00225,P0447,2024-03-06 23:18:55.633751,4,118.08,S016,0.07,E-commerce,6
T00226,P0295,2024-03-29 23:18:55.633751,10,330.96,S009,0.08,Retail,9
T00227,P0273,2023-12-07 23:18:55.633751,3,165.38,S003,0.26,Wholesale,2
T00228,P0114,2024-08-12 23:18:55.633751,16,141.38,S022,0.13,Retail,4
T00229,P0549,2024-08-24 23:18:55.633751,3,156.2,S016,0.13,Retail,5
T00230,P0016,2023-12-14 23:18:55.633751,11,20.72,S045,0.21,Retail,3
T00231,P0468,2023-11-08 23:18:55.633751,11,491.46,S003,0.01,Retail,6
T00232,P0117,2024-07-07 23:18:55.633751,15,247.07,S002,0.29,Wholesale,2
T00233,P0266,2023-11-07 23:18:55.633751,6,265.53,S014,0.05,Retail,3
T00234,P0674,2024-02-16 23:18:55.633751,8,100.11,S027,0.1,E-commerce,5
T00235,P0453,2023-11-26 23:18:55.633751,19,281.92,S037,0.21,Retail,4
T00236,P0904,2024-05-10 23:18:55.633751,9,137.78,S033,0.25,E-commerce,9
T00237,P0091,2024-04-28 23:18:55.633751,7,484.2,S038,0.13,E-commerce,9
T00238,P0372,2024-05-04 23:18:55.633751,15,253.93,S045,0.23,E-commerce,6
T00239,P0675,2024-09-15 23:18:55.633751,9,239.74,S015,0.07,Retail,3
T00240,P0626,2024-02-15 23:18:55.633751,6,420.27,S039,0.0,E-commerce,5
T00241,P0155,2024-08-29 23:18:55.633751,4,402.75,S044,0.04,Retail,6
T00242,P0878,2024-08-09 23:18:55.633751,18,374.56,S031,0.24,E-commerce,6
T00243,P0300,2024-08-16 23:18:55.633751,4,85.71,S016,0.06,E-commerce,4
T00244,P0606,2024-10-06 23:18:55.633751,15,53.6,S034,0.18,Retail,1
T00245,P0730,2024-04-07 23:18:55.633751,9,381.78,S011,0.3,Retail,4
T00246,P0753,2023-11-29 23:18:55.633751,5,253.1,S012,0.18,Wholesale,2
T00247,P0224,2024-04-22 23:18:55.633751,5,60.08,S034,0.04,E-commerce,3
T00248,P0227,2024-07-16 23:18:55.633751,3,293.94,S049,0.03,E-commerce,4
T00249,P0100,2024-05-29 23:18:55.633751,4,338.88,S006,0.17,Retail,2
T00250,P0180,2024-08-26 23:18:55.633751,7,128.12,S035,0.3,Retail,1
T00251,P0140,2024-02-18 23:18:55.633751,3,106.29,S001,0.19,Retail,9
T00252,P0075,2024-07-14 23:18:55.633751,6,440.26,S035,0.0,E-commerce,9
T00253,P0110,2023-12-30 23:18:55.633751,1,52.18,S018,0.24,Wholesale,2
T00254,P0144,2024-03-06 23:18:55.633751,4,187.57,S011,0.09,Retail,9
T00255,P0260,2024-02-02 23:18:55.633751,19,149.03,S041,0.2,E-commerce,4
T00256,P0209,2024-03-05 23:18:55.633751,4,386.09,S026,0.23,E-commerce,9
T00257,P0276,2023-12-17 23:18:55.633751,8,468.25,S037,0.09,E-commerce,2
T00258,P0600,2024-05-16 23:18:55.633751,3,23.98,S001,0.11,E-commerce,8
T00259,P0845,2024-09-21 23:18:55.633751,1,174.94,S007,0.15,Wholesale,7
T00260,P0881,2024-01-06 23:18:55.633751,16,417.84,S027,0.09,Wholesale,1
T00261,P0631,2024-01-20 23:18:55.633751,11,180.89,S008,0.16,Retail,7
T00262,P0944,2024-02-09 23:18:55.633751,3,414.01,S017,0.08,Wholesale,4
T00263,P0054,2024-06-08 23:18:55.633751,12,47.66,S028,0.08,Wholesale,4
T00264,P0108,2024-05-24 23:18:55.633751,11,45.82,S004,0.29,E-commerce,3
T00265,P0360,2024-07-05 23:18:55.633751,5,335.85,S008,0.04,Retail,7
T00266,P0132,2023-11-26 23:18:55.633751,6,331.32,S009,0.25,Wholesale,5
T00267,P0472,2023-10-26 23:18:55.633751,5,77.11,S023,0.04,E-commerce,3
T00268,P0588,2024-03-22 23:18:55.633751,13,441.16,S025,0.22,Wholesale,7
T00269,P0729,2023-12-08 23:18:55.633751,12,485.98,S010,0.2,Retail,4
T00270,P0064,2024-01-22 23:18:55.633751,4,265.11,S045,0.03,Retail,8
T00271,P0631,2024-09-29 23:18:55.633751,15,269.47,S019,0.29,Retail,8
T00272,P0055,2024-01-17 23:18:55.633751,5,110.76,S045,0.01,Retail,3
T00273,P0810,2024-07-09 23:18:55.633751,2,219.46,S030,0.11,Wholesale,6
T00274,P0336,2024-06-02 23:18:55.633751,9,440.81,S009,0.15,E-commerce,5
T00275,P0835,2023-11-30 23:18:55.633751,6,304.25,S020,0.25,E-commerce,2
T00276,P0657,2024-01-10 23:18:55.633751,9,422.17,S032,0.06,E-commerce,2
T00277,P0399,2023-12-16 23:18:55.633751,18,447.25,S011,0.05,E-commerce,6
T00278,P0643,2024-05-08 23:18:55.633751,3,174.99,S014,0.06,Retail,4
T00279,P0278,2024-02-28 23:18:55.633751,17,225.7,S029,0.11,Wholesale,3
T00280,P0739,2024-07-25 23:18:55.633751,7,455.94,S001,0.16,Retail,3
T00281,P0516,2024-08-07 23:18:55.633751,12,24.41,S007,0.06,E-commerce,8
T00282,P0373,2024-06-20 23:18:55.633751,5,458.17,S047,0.22,E-commerce,8
T00283,P0169,2024-08-31 23:18:55.633751,4,17.06,S012,0.04,Wholesale,9
T00284,P0496,2024-08-24 23:18:55.633751,9,204.44,S040,0.23,E-commerce,1
T00285,P0135,2024-01-02 23:18:55.633751,4,235.44,S048,0.1,Retail,7
T00286,P0867,2023-12-31 23:18:55.633751,18,108.91,S008,0.16,Retail,4
T00287,P0873,2024-07-25 23:18:55.633751,7,57.68,S004,0.14,Retail,5
T00288,P0970,2024-05-14 23:18:55.633751,16,96.5,S009,0.03,E-commerce,1
T00289,P0384,2023-11-04 23:18:55.633751,16,102.29,S026,0.21,E-commerce,9
T00290,P0481,2023-10-28 23:18:55.633751,6,282.24,S042,0.01,Retail,7
T00291,P0113,2023-12-02 23:18:55.633751,11,381.41,S049,0.22,E-commerce,7
T00292,P0069,2024-06-18 23:18:55.633751,4,490.01,S050,0.13,E-commerce,3
T00293,P0832,2024-08-11 23:18:55.633751,3,340.18,S001,0.18,E-commerce,6
T00294,P0721,2024-10-24 23:18:55.633751,3,218.22,S022,0.3,Retail,3
T00295,P0231,2024-05-22 23:18:55.633751,12,344.83,S026,0.14,Wholesale,1
T00296,P0883,2024-07-31 23:18:55.633751,19,374.98,S027,0.12,Wholesale,1
T00297,P0079,2023-12-11 23:18:55.633751,18,482.59,S048,0.12,Wholesale,1
T00298,P0214,2024-09-10 23:18:55.633751,15,461.56,S002,0.04,E-commerce,9
T00299,P0007,2024-01-05 23:18:55.633751,19,444.26,S018,0.11,Wholesale,3
T00300,P0885,2024-07-26 23:18:55.633751,16,382.75,S044,0.01,Wholesale,8
T00301,P0429,2023-11-15 23:18:55.633751,7,100.03,S044,0.29,Retail,6
T00302,P0823,2023-12-26 23:18:55.633751,5,394.1,S028,0.04,Wholesale,2
T00303,P0923,2024-06-16 23:18:55.633751,13,316.09,S030,0.24,Wholesale,2
T00304,P0945,2024-07-09 23:18:55.633751,13,440.2,S038,0.05,Wholesale,7
T00305,P0123,2024-09-05 23:18:55.633751,3,179.66,S039,0.16,Retail,4
T00306,P0942,2024-08-19 23:18:55.633751,17,322.45,S043,0.16,E-commerce,8
T00307,P0311,2024-03-01 23:18:55.633751,4,305.52,S007,0.18,Wholesale,4
T00308,P0108,2024-10-14 23:18:55.633751,16,457.16,S017,0.22,Retail,8
T00309,P0203,2024-05-18 23:18:55.633751,19,117.42,S002,0.28,Wholesale,2
T00310,P0480,2024-02-13 23:18:55.633751,10,389.28,S028,0.14,Retail,9
T00311,P0173,2024-03-29 23:18:55.633751,11,144.06,S025,0.04,E-commerce,8
T00312,P0937,2024-09-17 23:18:55.633751,19,202.85,S004,0.18,Retail,8
T00313,P0596,2024-03-19 23:18:55.633751,16,20.56,S006,0.1,Retail,1
