ProductID,Category,StockLevel,ReorderPoint,UnitPrice,SupplierID,WarehouseLocation,SafetyStock,LastRestockDate,ProductName,ProductImageURL
P0026,Health,67,6,421.64,S042,North,12,2024-05-11 23:18:55.617758,Thermometer,https://example.com/images/P0026.jpg
P0027,Clothing,93,9,289.65,S020,West,49,2024-07-13 23:18:55.617758,Jacket,https://example.com/images/P0027.jpg
P0028,Food,78,33,301.89,S004,East,29,2024-06-17 23:18:55.617758,Chocolate,https://example.com/images/P0028.jpg
P0029,Clothing,9,32,424.6,S021,East,29,2024-06-14 23:18:55.617758,Jeans,https://example.com/images/P0029.jpg
P0030,Health,66,25,179.05,S026,West,47,2024-06-28 23:18:55.617758,Sanitizer,https://example.com/images/P0030.jpg
P0031,Clothing,72,20,423.54,S040,West,15,2024-07-26 23:18:55.617758,Jacket,https://example.com/images/P0031.jpg
P0032,Health,8,45,437.49,S033,East,29,2024-08-05 23:18:55.617758,Supplements,https://example.com/images/P0032.jpg
P0033,Sports,59,28,128.76,S050,South,43,2024-04-01 23:18:55.617758,Soccer Ball,https://example.com/images/P0033.jpg
P0034,Health,60,48,120.47,S025,East,49,2024-09-11 23:18:55.617758,Sanitizer,https://example.com/images/P0034.jpg
P0035,Home Goods,10,45,294.37,S046,West,42,2024-07-27 23:18:55.617758,Table,https://example.com/images/P0035.jpg
P0036,Home Goods,85,16,375.39,S022,West,31,2024-01-06 23:18:55.617758,Candle,https://example.com/images/P0036.jpg
P0037,Clothing,68,24,54.91,S029,North,48,2024-03-21 23:18:55.617758,Jacket,https://example.com/images/P0037.jpg
P0038,Sports,90,14,233.17,S046,North,24,2023-11-22 23:18:55.617758,Bicycle Helmet,https://example.com/images/P0038.jpg
P0039,Electronics,98,21,364.22,S044,East,49,2024-01-03 23:18:55.617758,Tablet,https://example.com/images/P0039.jpg
P0040,Health,62,9,54.35,S036,West,34,2024-10-09 23:18:55.617758,Thermometer,https://example.com/images/P0040.jpg
P0041,Home Goods,93,47,256.03,S030,South,10,2024-07-08 23:18:55.617758,Chair,https://example.com/images/P0041.jpg
P0042,Health,7,18,5.67,S046,West,24,2024-07-31 23:18:55.617758,Vitamins,https://example.com/images/P0042.jpg
P0043,Health,63,28,104.43,S022,East,51,2024-09-19 23:18:55.617758,Vitamins,https://example.com/images/P0043.jpg
P0044,Food,68,17,373.65,S020,North,57,2024-09-09 23:18:55.617758,Snacks,https://example.com/images/P0044.jpg
P0045,Health,39,48,158.04,S024,South,11,2024-05-12 23:18:55.617758,Toothpaste,https://example.com/images/P0045.jpg
P0046,Health,83,13,40.33,S004,North,50,2024-03-13 23:18:55.617758,Thermometer,https://example.com/images/P0046.jpg
P0047,Electronics,22,39,256.91,S035,North,43,2024-07-25 23:18:55.617758,Smartwatch,https://example.com/images/P0047.jpg
P0048,Home Goods,87,9,40.98,S006,North,29,2023-10-31 23:18:55.617758,Candle,https://example.com/images/P0048.jpg
P0049,Electronics,78,39,55.91,S011,North,21,2024-01-07 23:18:55.617758,Camera,https://example.com/images/P0049.jpg
P0050,Home Goods,12,34,492.89,S023,South,12,2024-05-10 23:18:55.617758,Carpet,https://example.com/images/P0050.jpg
P0051,Clothing,31,18,436.07,S021,East,24,2024-08-18 23:18:55.617758,T-Shirt,https://example.com/images/P0051.jpg
P0052,Health,55,12,450.86,S045,East,18,2024-03-10 23:18:55.617758,Sanitizer,https://example.com/images/P0052.jpg
P0053,Electronics,84,21,241.65,S005,East,25,2024-10-05 23:18:55.617758,Smartwatch,https://example.com/images/P0053.jpg
P0054,Home Goods,12,32,226.97,S049,West,12,2024-06-28 23:18:55.617758,Chair,https://example.com/images/P0054.jpg
P0055,Home Goods,66,45,106.03,S008,North,19,2024-08-11 23:18:55.617758,Candle,https://example.com/images/P0055.jpg
P0056,Sports,54,13,498.9,S013,South,55,2024-03-28 23:18:55.617758,Dumbbells,https://example.com/images/P0056.jpg
P0057,Home Goods,64,32,142.67,S042,South,57,2023-12-06 23:18:55.617758,Chair,https://example.com/images/P0057.jpg
P0058,Health,19,24,324.57,S036,West,36,2024-04-12 23:18:55.617758,Vitamins,https://example.com/images/P0058.jpg
P0059,Sports,17,14,139.62,S023,South,11,2023-11-01 23:18:55.617758,Water Bottle,https://example.com/images/P0059.jpg
P0060,Home Goods,5,34,33.2,S046,North,57,2024-06-08 23:18:55.617758,Curtains,https://example.com/images/P0060.jpg
P0061,Food,74,39,41.61,S048,West,57,2024-08-15 23:18:55.617758,Cookies,https://example.com/images/P0061.jpg
P0062,Home Goods,4,44,328.78,S023,East,44,2024-03-16 23:18:55.617758,Chair,https://example.com/images/P0062.jpg
P0063,Health,87,31,154.84,S024,North,50,2023-12-07 23:18:55.617758,Supplements,https://example.com/images/P0063.jpg
P0064,Sports,31,36,201.31,S028,South,33,2024-06-20 23:18:55.617758,Tennis Racket,https://example.com/images/P0064.jpg
P0065,Clothing,78,16,183.15,S032,South,33,2024-06-29 23:18:55.618785,Shoes,https://example.com/images/P0065.jpg
P0066,Food,94,45,306.88,S035,East,33,2024-01-21 23:18:55.618785,Cookies,https://example.com/images/P0066.jpg
P0067,Electronics,71,35,270.66,S023,East,52,2023-11-15 23:18:55.618785,Smartwatch,https://example.com/images/P0067.jpg
P0068,Health,57,18,11.46,S005,South,17,2023-12-16 23:18:55.618785,Sanitizer,https://example.com/images/P0068.jpg
P0069,Clothing,78,40,171.01,S033,South,54,2024-08-17 23:18:55.618785,Sunglasses,https://example.com/images/P0069.jpg
P0070,Health,89,43,443.46,S015,North,51,2024-06-22 23:18:55.618785,Sanitizer,https://example.com/images/P0070.jpg
P0071,Clothing,80,8,350.5,S038,East,57,2024-01-15 23:18:55.618785,Sunglasses,https://example.com/images/P0071.jpg
P0072,Clothing,47,37,462.96,S002,East,11,2024-04-15 23:18:55.618785,Hat,https://example.com/images/P0072.jpg
P0073,Health,71,36,332.29,S003,East,13,2024-01-23 23:18:55.618785,First Aid Kit,https://example.com/images/P0073.jpg
P0074,Sports,0,37,260.16,S020,North,28,2023-11-13 23:18:55.618785,Bicycle Helmet,https://example.com/images/P0074.jpg
P0075,Electronics,23,15,451.68,S012,South,47,2024-03-22 23:18:55.618785,Tablet,https://example.com/images/P0075.jpg
P0076,Food,99,20,455.32,S009,West,48,2024-10-23 23:18:55.618785,Pasta,https://example.com/images/P0076.jpg
P0077,Sports,1,16,92.4,S022,South,49,2024-09-04 23:18:55.618785,Bicycle Helmet,https://example.com/images/P0077.jpg
P0078,Food,77,20,334.1,S037,South,34,2024-04-19 23:18:55.618785,Bread,https://example.com/images/P0078.jpg
P0079,Food,81,10,357.54,S031,North,15,2024-03-28 23:18:55.618785,Bread,https://example.com/images/P0079.jpg
P0080,Health,4,8,128.72,S001,South,25,2024-04-22 23:18:55.618785,Supplements,https://example.com/images/P0080.jpg
P0081,Electronics,58,35,232.05,S013,East,26,2024-04-10 23:18:55.618785,Tablet,https://example.com/images/P0081.jpg
P0082,Food,62,40,437.05,S025,South,29,2024-01-17 23:18:55.618785,Bread,https://example.com/images/P0082.jpg
P0083,Clothing,92,46,29.61,S022,West,28,2024-09-30 23:18:55.618785,Sunglasses,https://example.com/images/P0083.jpg
P0084,Health,56,22,66.55,S044,East,44,2024-01-13 23:18:55.618785,Thermometer,https://example.com/images/P0084.jpg
P0085,Electronics,83,16,478.76,S040,North,37,2024-04-01 23:18:55.618785,Smartwatch,https://example.com/images/P0085.jpg
P0086,Home Goods,87,34,52.38,S032,West,20,2024-02-15 23:18:55.618785,Lamp,https://example.com/images/P0086.jpg
P0087,Electronics,2,26,250.94,S030,North,25,2024-05-31 23:18:55.618785,Camera,https://example.com/images/P0087.jpg
P0088,Electronics,15,49,270.35,S047,East,19,2024-09-24 23:18:55.618785,Laptop,https://example.com/images/P0088.jpg
P0089,Home Goods,64,37,270.95,S014,West,20,2024-03-09 23:18:55.618785,Curtains,https://example.com/images/P0089.jpg
P0090,Home Goods,17,28,182.2,S025,South,40,2023-10-30 23:18:55.618785,Lamp,https://example.com/images/P0090.jpg
P0091,Health,68,49,359.3,S034,East,56,2024-03-06 23:18:55.618785,Toothpaste,https://example.com/images/P0091.jpg
P0092,Electronics,20,11,9.47,S003,North,10,2024-08-04 23:18:55.618785,Camera,https://example.com/images/P0092.jpg
P0093,Sports,64,25,481.82,S025,West,42,2024-06-20 23:18:55.618785,Soccer Ball,https://example.com/images/P0093.jpg
P0094,Sports,84,31,399.11,S003,South,44,2024-09-02 23:18:55.618785,Yoga Mat,https://example.com/images/P0094.jpg
P0095,Food,66,43,318.26,S031,West,32,2024-09-23 23:18:55.618785,Juice,https://example.com/images/P0095.jpg
P0096,Clothing,77,36,114.44,S027,East,14,2023-12-21 23:18:55.618785,Sunglasses,https://example.com/images/P0096.jpg
P0097,Electronics,22,5,356.03,S028,North,40,2024-08-06 23:18:55.618785,Laptop,https://example.com/images/P0097.jpg
P0098,Health,4,30,87.6,S003,West,27,2023-11-02 23:18:55.618785,Toothpaste,https://example.com/images/P0098.jpg
P0099,Sports,47,32,259.19,S006,North,31,2024-04-29 23:18:55.618785,Soccer Ball,https://example.com/images/P0099.jpg
P0100,Electronics,99,12,426.53,S040,South,51,2024-06-30 23:18:55.618785,Camera,https://example.com/images/P0100.jpg
P0101,Food,56,11,146.07,S022,West,18,2024-08-08 23:18:55.618785,Cookies,https://example.com/images/P0101.jpg
P0102,Health,37,26,333.95,S046,East,29,2024-07-16 23:18:55.618785,Sanitizer,https://example.com/images/P0102.jpg
P0103,Food,33,27,123.23,S048,North,49,2024-01-22 23:18:55.618785,Snacks,https://example.com/images/P0103.jpg
P0104,Home Goods,85,30,62.86,S046,South,28,2024-01-11 23:18:55.618785,Table,https://example.com/images/P0104.jpg
P0105,Clothing,32,34,445.48,S007,North,46,2023-11-30 23:18:55.618785,T-Shirt,https://example.com/images/P0105.jpg
P0106,Electronics,89,46,475.07,S037,North,36,2024-08-29 23:18:55.618785,Smartphone,https://example.com/images/P0106.jpg
P0107,Food,36,22,346.73,S031,South,12,2024-03-10 23:18:55.618785,Bread,https://example.com/images/P0107.jpg
P0108,Health,12,36,384.19,S040,West,19,2023-11-30 23:18:55.618785,First Aid Kit,https://example.com/images/P0108.jpg
P0109,Sports,25,46,16.61,S009,East,42,2024-06-18 23:18:55.618785,Bicycle Helmet,https://example.com/images/P0109.jpg
P0110,Electronics,84,49,40.59,S015,South,33,2023-11-22 23:18:55.618785,Tablet,https://example.com/images/P0110.jpg
P0111,Health,22,34,233.15,S020,West,17,2024-09-04 23:18:55.618785,First Aid Kit,https://example.com/images/P0111.jpg
P0112,Health,2,41,195.0,S002,East,30,2024-04-16 23:18:55.618785,First Aid Kit,https://example.com/images/P0112.jpg
P0113,Food,57,7,482.24,S045,East,45,2024-03-08 23:18:55.618785,Chocolate,https://example.com/images/P0113.jpg
P0114,Sports,12,49,399.72,S032,South,56,2024-07-06 23:18:55.618785,Bicycle Helmet,https://example.com/images/P0114.jpg
P0115,Health,13,13,265.08,S008,East,55,2024-01-25 23:18:55.618785,Vitamins,https://example.com/images/P0115.jpg
P0116,Home Goods,48,36,408.47,S038,East,44,2024-05-24 23:18:55.618785,Candle,https://example.com/images/P0116.jpg
P0117,Sports,58,37,430.17,S015,West,15,2024-06-15 23:18:55.618785,Bicycle Helmet,https://example.com/images/P0117.jpg
P0118,Home Goods,37,6,10.81,S036,East,49,2024-08-30 23:18:55.618785,Chair,https://example.com/images/P0118.jpg
P0119,Sports,94,42,376.3,S044,South,56,2024-07-07 23:18:55.618785,Dumbbells,https://example.com/images/P0119.jpg
P0120,Home Goods,16,42,196.12,S016,West,15,2024-05-16 23:18:55.618785,Chair,https://example.com/images/P0120.jpg
P0121,Food,38,42,412.38,S023,East,37,2024-10-15 23:18:55.618785,Bread,https://example.com/images/P0121.jpg
P0122,Clothing,71,36,272.01,S050,North,47,2024-05-05 23:18:55.618785,T-Shirt,https://example.com/images/P0122.jpg
P0123,Electronics,46,43,36.49,S048,South,48,2024-08-07 23:18:55.618785,Smartwatch,https://example.com/images/P0123.jpg
P0124,Sports,96,9,380.22,S034,East,56,2024-10-11 23:18:55.618785,Water Bottle,https://example.com/images/P0124.jpg
P0125,Health,29,24,98.27,S003,East,53,2024-09-09 23:18:55.618785,Vitamins,https://example.com/images/P0125.jpg
P0126,Health,37,7,48.58,S049,East,10,2024-04-14 23:18:55.618785,First Aid Kit,https://example.com/images/P0126.jpg
P0127,Health,52,11,282.59,S005,East,32,2024-03-03 23:18:55.618785,First Aid Kit,https://example.com/images/P0127.jpg
P0128,Electronics,1,38,368.85,S044,West,24,2023-12-14 23:18:55.618785,Camera,https://example.com/images/P0128.jpg
P0129,Food,90,23,34.36,S008,South,49,2024-06-03 23:18:55.618785,Cookies,https://example.com/images/P0129.jpg
P0130,Clothing,10,33,139.74,S001,East,39,2024-03-15 23:18:55.618785,Jeans,https://example.com/images/P0130.jpg
P0131,Home Goods,44,17,363.9,S003,East,22,2024-03-12 23:18:55.618785,Table,https://example.com/images/P0131.jpg
P0132,Electronics,14,48,66.82,S034,South,44,2024-10-15 23:18:55.618785,Smartphone,https://example.com/images/P0132.jpg
P0133,Electronics,69,32,7.48,S049,East,23,2024-07-23 23:18:55.618785,Laptop,https://example.com/images/P0133.jpg
P0134,Home Goods,78,20,464.06,S021,West,23,2024-08-14 23:18:55.619118,Lamp,https://example.com/images/P0134.jpg
P0135,Clothing,95,20,376.96,S045,West,56,2023-10-27 23:18:55.619118,Jacket,https://example.com/images/P0135.jpg
P0136,Health,1,12,193.78,S050,East,25,2023-11-19 23:18:55.619118,Toothpaste,https://example.com/images/P0136.jpg
P0137,Electronics,37,41,115.96,S002,North,53,2023-11-26 23:18:55.619118,Smartphone,https://example.com/images/P0137.jpg
P0138,Health,69,13,454.99,S026,South,29,2024-03-25 23:18:55.619118,First Aid Kit,https://example.com/images/P0138.jpg
P0139,Home Goods,73,16,424.79,S029,North,16,2024-01-13 23:18:55.619118,Curtains,https://example.com/images/P0139.jpg
P0140,Health,31,23,117.54,S020,South,25,2024-06-15 23:18:55.619118,Thermometer,https://example.com/images/P0140.jpg
P0141,Food,93,26,194.48,S013,North,42,2024-04-16 23:18:55.619118,Cookies,https://example.com/images/P0141.jpg
P0142,Sports,51,47,314.76,S004,West,32,2024-05-08 23:18:55.619118,Dumbbells,https://example.com/images/P0142.jpg
P0143,Electronics,10,21,285.56,S020,East,41,2024-04-12 23:18:55.619118,Headphones,https://example.com/images/P0143.jpg
P0144,Clothing,95,47,19.36,S024,North,25,2024-05-14 23:18:55.619118,Jacket,https://example.com/images/P0144.jpg
P0145,Food,76,22,271.28,S004,North,25,2024-03-02 23:18:55.619118,Snacks,https://example.com/images/P0145.jpg
P0146,Food,63,26,14.28,S050,North,23,2024-06-07 23:18:55.619118,Cookies,https://example.com/images/P0146.jpg
P0147,Sports,93,9,302.46,S015,North,45,2023-11-30 23:18:55.619118,Bicycle Helmet,https://example.com/images/P0147.jpg
P0148,Sports,55,36,110.58,S009,West,28,2024-06-25 23:18:55.619118,Water Bottle,https://example.com/images/P0148.jpg
P0149,Food,4,16,271.66,S045,South,55,2024-10-18 23:18:55.619118,Chocolate,https://example.com/images/P0149.jpg
P0150,Food,13,20,135.09,S046,North,20,2024-08-10 23:18:55.619118,Chocolate,https://example.com/images/P0150.jpg
P0151,Health,19,12,284.28,S036,North,13,2024-06-30 23:18:55.619118,Supplements,https://example.com/images/P0151.jpg
P0152,Electronics,7,22,190.68,S008,South,15,2024-06-12 23:18:55.619118,Headphones,https://example.com/images/P0152.jpg
P0153,Sports,60,37,340.83,S025,West,50,2024-04-12 23:18:55.619118,Soccer Ball,https://example.com/images/P0153.jpg
P0154,Clothing,26,34,5.16,S004,South,55,2023-11-21 23:18:55.619118,Shoes,https://example.com/images/P0154.jpg
P0155,Health,68,17,39.88,S016,East,43,2024-07-07 23:18:55.619118,Supplements,https://example.com/images/P0155.jpg
P0156,Health,63,24,281.91,S018,West,19,2024-08-15 23:18:55.619118,Vitamins,https://example.com/images/P0156.jpg
P0157,Clothing,11,6,403.45,S016,West,22,2023-10-28 23:18:55.619118,Jacket,https://example.com/images/P0157.jpg
P0158,Health,0,41,479.47,S017,South,52,2024-09-27 23:18:55.619118,Thermometer,https://example.com/images/P0158.jpg
P0159,Electronics,35,21,494.9,S008,North,11,2024-09-14 23:18:55.619118,Tablet,https://example.com/images/P0159.jpg
P0160,Food,65,39,319.03,S030,West,53,2024-06-28 23:18:55.619118,Cookies,https://example.com/images/P0160.jpg
P0161,Home Goods,82,18,257.46,S010,South,53,2023-12-30 23:18:55.619118,Lamp,https://example.com/images/P0161.jpg
P0162,Clothing,29,48,82.61,S040,West,25,2023-12-26 23:18:55.619118,Shoes,https://example.com/images/P0162.jpg
P0163,Clothing,53,23,398.62,S015,West,35,2024-08-08 23:18:55.619118,Jacket,https://example.com/images/P0163.jpg
P0164,Electronics,27,6,5.09,S005,North,10,2024-08-14 23:18:55.619118,Smartwatch,https://example.com/images/P0164.jpg
P0165,Clothing,89,47,460.82,S009,East,11,2023-10-26 23:18:55.619118,Jacket,https://example.com/images/P0165.jpg
P0166,Sports,2,26,173.88,S037,South,37,2024-05-07 23:18:55.619118,Bicycle Helmet,https://example.com/images/P0166.jpg
P0167,Food,74,38,392.67,S028,West,32,2024-10-08 23:18:55.619118,Pasta,https://example.com/images/P0167.jpg
P0168,Sports,15,5,32.61,S009,North,15,2023-12-22 23:18:55.619118,Dumbbells,https://example.com/images/P0168.jpg
P0169,Health,52,49,331.04,S037,South,21,2024-10-08 23:18:55.619118,Supplements,https://example.com/images/P0169.jpg
P0170,Food,11,27,379.14,S002,South,41,2024-07-30 23:18:55.619118,Cookies,https://example.com/images/P0170.jpg
P0171,Food,36,38,139.58,S002,East,51,2024-07-09 23:18:55.619118,Cookies,https://example.com/images/P0171.jpg
P0172,Home Goods,34,40,359.54,S037,West,36,2024-06-30 23:18:55.619118,Candle,https://example.com/images/P0172.jpg
P0173,Electronics,70,32,160.84,S002,West,47,2024-09-12 23:18:55.619118,Smartphone,https://example.com/images/P0173.jpg
P0174,Clothing,37,13,246.15,S037,East,36,2024-09-04 23:18:55.619118,Jeans,https://example.com/images/P0174.jpg
P0175,Food,80,40,145.92,S014,West,55,2024-06-04 23:18:55.619118,Cookies,https://example.com/images/P0175.jpg
P0176,Health,64,38,208.15,S020,West,50,2024-10-21 23:18:55.619118,Vitamins,https://example.com/images/P0176.jpg
P0177,Sports,64,30,441.82,S044,East,34,2024-08-25 23:18:55.619118,Bicycle Helmet,https://example.com/images/P0177.jpg
P0178,Food,90,47,442.66,S040,South,48,2023-11-21 23:18:55.619118,Pasta,https://example.com/images/P0178.jpg
P0179,Food,7,17,101.32,S023,West,33,2023-12-06 23:18:55.619118,Snacks,https://example.com/images/P0179.jpg
P0180,Sports,90,34,247.68,S025,West,59,2024-09-27 23:18:55.619118,Yoga Mat,https://example.com/images/P0180.jpg
P0181,Food,61,6,467.31,S003,East,15,2024-08-05 23:18:55.619118,Cookies,https://example.com/images/P0181.jpg
P0182,Sports,39,38,365.03,S049,East,11,2024-05-19 23:18:55.619118,Tennis Racket,https://example.com/images/P0182.jpg
P0183,Sports,50,44,482.78,S026,South,21,2024-09-06 23:18:55.619118,Tennis Racket,https://example.com/images/P0183.jpg
P0184,Food,53,13,188.37,S008,North,50,2024-08-21 23:18:55.619118,Juice,https://example.com/images/P0184.jpg
P0185,Health,82,26,431.73,S029,South,29,2024-04-27 23:18:55.619118,Thermometer,https://example.com/images/P0185.jpg
P0186,Health,77,42,128.27,S047,West,19,2024-04-28 23:18:55.619118,First Aid Kit,https://example.com/images/P0186.jpg
P0187,Electronics,24,40,365.83,S009,West,45,2023-12-17 23:18:55.619118,Smartwatch,https://example.com/images/P0187.jpg
P0188,Sports,25,7,440.8,S034,North,11,2023-12-25 23:18:55.619118,Water Bottle,https://example.com/images/P0188.jpg
P0189,Clothing,46,29,60.02,S048,East,54,2023-11-24 23:18:55.619118,Shoes,https://example.com/images/P0189.jpg
P0190,Clothing,26,46,352.26,S034,South,41,2024-04-19 23:18:55.619118,Jacket,https://example.com/images/P0190.jpg
P0191,Health,73,25,389.66,S033,West,53,2024-08-27 23:18:55.619118,Vitamins,https://example.com/images/P0191.jpg
P0192,Clothing,96,46,14.48,S021,West,21,2023-11-18 23:18:55.619118,Sunglasses,https://example.com/images/P0192.jpg
P0193,Clothing,50,27,65.49,S043,West,18,2024-09-17 23:18:55.619118,T-Shirt,https://example.com/images/P0193.jpg
P0194,Health,32,47,377.61,S004,North,31,2024-08-17 23:18:55.619118,First Aid Kit,https://example.com/images/P0194.jpg
P0195,Clothing,28,21,423.94,S048,West,28,2024-05-12 23:18:55.619118,Hat,https://example.com/images/P0195.jpg
P0196,Home Goods,95,32,398.63,S031,West,36,2023-11-04 23:18:55.619118,Table,https://example.com/images/P0196.jpg
P0197,Sports,36,33,464.1,S028,East,41,2024-05-20 23:18:55.619118,Dumbbells,https://example.com/images/P0197.jpg
P0198,Home Goods,53,23,140.27,S046,West,46,2024-01-06 23:18:55.619118,Chair,https://example.com/images/P0198.jpg
P0199,Clothing,90,16,272.98,S043,North,38,2024-01-22 23:18:55.619118,Jacket,https://example.com/images/P0199.jpg
P0200,Home Goods,8,12,226.59,S034,South,31,2024-08-18 23:18:55.619118,Table,https://example.com/images/P0200.jpg
P0201,Clothing,26,12,66.8,S049,North,50,2023-11-19 23:18:55.619118,T-Shirt,https://example.com/images/P0201.jpg
P0202,Health,38,48,344.28,S027,East,19,2023-12-20 23:18:55.619118,Thermometer,https://example.com/images/P0202.jpg
P0203,Sports,22,13,335.91,S030,West,45,2024-04-24 23:18:55.619118,Water Bottle,https://example.com/images/P0203.jpg
P0204,Electronics,0,35,233.64,S013,South,27,2024-04-15 23:18:55.619118,Tablet,https://example.com/images/P0204.jpg
P0205,Home Goods,85,33,180.6,S008,West,47,2024-07-27 23:18:55.619118,Curtains,https://example.com/images/P0205.jpg
P0206,Electronics,83,26,299.28,S003,West,34,2023-10-31 23:18:55.619118,Headphones,https://example.com/images/P0206.jpg
P0207,Home Goods,70,27,185.71,S010,East,26,2024-03-04 23:18:55.619118,Curtains,https://example.com/images/P0207.jpg
P0208,Home Goods,24,28,301.92,S004,South,23,2024-06-08 23:18:55.619118,Candle,https://example.com/images/P0208.jpg
P0209,Health,63,5,475.68,S017,East,14,2024-06-24 23:18:55.619118,Thermometer,https://example.com/images/P0209.jpg
P0210,Food,96,28,457.65,S016,East,40,2024-02-19 23:18:55.619118,Juice,https://example.com/images/P0210.jpg
P0211,Food,12,22,183.03,S005,West,13,2024-06-11 23:18:55.619118,Chocolate,https://example.com/images/P0211.jpg
P0212,Food,10,48,425.93,S031,South,20,2023-11-30 23:18:55.619118,Chocolate,https://example.com/images/P0212.jpg
P0213,Home Goods,18,48,461.02,S023,North,49,2023-12-26 23:18:55.619118,Carpet,https://example.com/images/P0213.jpg
P0214,Home Goods,13,43,129.24,S026,North,31,2024-03-14 23:18:55.619118,Table,https://example.com/images/P0214.jpg
P0215,Electronics,2,5,227.04,S024,South,11,2024-04-24 23:18:55.619118,Smartphone,https://example.com/images/P0215.jpg
P0216,Electronics,6,28,360.58,S029,West,28,2024-07-14 23:18:55.619118,Laptop,https://example.com/images/P0216.jpg
P0217,Electronics,7,32,88.83,S045,North,23,2023-11-06 23:18:55.619118,Camera,https://example.com/images/P0217.jpg
P0218,Home Goods,9,12,249.61,S028,South,13,2024-08-14 23:18:55.619118,Candle,https://example.com/images/P0218.jpg
P0219,Health,52,42,255.37,S025,West,20,2023-12-24 23:18:55.619118,First Aid Kit,https://example.com/images/P0219.jpg
P0220,Sports,20,10,224.3,S008,East,44,2024-02-10 23:18:55.619118,Dumbbells,https://example.com/images/P0220.jpg
P0221,Home Goods,86,17,160.9,S040,West,50,2023-10-31 23:18:55.619118,Chair,https://example.com/images/P0221.jpg
P0222,Food,70,19,200.57,S013,South,53,2023-11-22 23:18:55.619118,Juice,https://example.com/images/P0222.jpg
P0223,Food,54,34,19.86,S020,East,42,2024-05-15 23:18:55.619118,Chocolate,https://example.com/images/P0223.jpg
P0224,Home Goods,98,32,238.4,S005,West,35,2024-06-04 23:18:55.619118,Carpet,https://example.com/images/P0224.jpg
P0225,Clothing,59,38,402.34,S007,North,13,2024-01-10 23:18:55.619118,Sunglasses,https://example.com/images/P0225.jpg
P0226,Clothing,22,41,491.57,S044,East,53,2024-10-04 23:18:55.619118,Jeans,https://example.com/images/P0226.jpg
